Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             2.516073e+25         8.029673e+21         2.539205e+23        1.009%
         0.1326E-02             2.515217e+25         8.024362e+21         2.537526e+23        1.009%
         0.1758E-02             2.513740e+25         8.005444e+21         2.531544e+23        1.007%
         0.2330E-02             2.511163e+25         7.986127e+21         2.525435e+23        1.006%
         0.3089E-02             2.506731e+25         7.939906e+21         2.510819e+23        1.002%
         0.4095E-02             2.499171e+25         7.872773e+21         2.489589e+23        0.996%
         0.5429E-02             2.486529e+25         7.761917e+21         2.454534e+23        0.987%
         0.7197E-02             2.465990e+25         7.588556e+21         2.399712e+23        0.973%
         0.9541E-02             2.433786e+25         7.327313e+21         2.317100e+23        0.952%
         0.1265E-01             2.385655e+25         6.968498e+21         2.203632e+23        0.924%
         0.1677E-01             2.317400e+25         6.505330e+21         2.057166e+23        0.888%
         0.2223E-01             2.226354e+25         5.941715e+21         1.878935e+23        0.844%
         0.2947E-01             2.111797e+25         5.328581e+21         1.685045e+23        0.798%
         0.3907E-01             1.976669e+25         4.684965e+21         1.481516e+23        0.750%
         0.5179E-01             1.826315e+25         4.068382e+21         1.286535e+23        0.704%
         0.6866E-01             1.667510e+25         3.503522e+21         1.107911e+23        0.664%
         0.9103E-01             1.506888e+25         3.009186e+21         9.515882e+22        0.631%
         0.1207             1.349975e+25         2.572519e+21         8.135020e+22        0.603%
         0.1600             1.200489e+25         2.194585e+21         6.939888e+22        0.578%
         0.2121             1.060669e+25         1.866609e+21         5.902735e+22        0.557%
         0.2812             9.317619e+24         1.580068e+21         4.996615e+22        0.536%
         0.3728             8.143361e+24         1.336441e+21         4.226198e+22        0.519%
         0.4942             7.084018e+24         1.126253e+21         3.561525e+22        0.503%
         0.6551             6.135976e+24         9.471359e+20         2.995107e+22        0.488%
         0.8685             5.296287e+24         8.026487e+20         2.538198e+22        0.479%
         1.151             4.568204e+24         6.999688e+20         2.213496e+22        0.485%
         1.526             3.954351e+24         6.295205e+20         1.990719e+22        0.503%
         2.024             3.443994e+24         5.731775e+20         1.812547e+22        0.526%
         2.683             3.018050e+24         5.227569e+20         1.653102e+22        0.548%
         3.556             2.661864e+24         4.848594e+20         1.533260e+22        0.576%
         4.715             2.376297e+24         4.832912e+20         1.528301e+22        0.643%
         6.251             2.192528e+24         5.722453e+20         1.809599e+22        0.825%
         8.286             2.148180e+24         6.960144e+20         2.200991e+22        1.025%
         10.99             2.172761e+24         7.282254e+20         2.302851e+22        1.060%
         14.56             2.199467e+24         7.263460e+20         2.296908e+22        1.044%
         19.31             2.219290e+24         7.241577e+20         2.289988e+22        1.032%
         25.60             2.237262e+24         7.257272e+20         2.294951e+22        1.026%
         33.93             2.258941e+24         7.349065e+20         2.323978e+22        1.029%
         44.98             2.288987e+24         7.492478e+20         2.369329e+22        1.035%
         59.64             2.332369e+24         7.774453e+20         2.458498e+22        1.054%
         79.06             2.393798e+24         8.333761e+20         2.635367e+22        1.101%
         104.8             2.478142e+24         9.536201e+20         3.015611e+22        1.217%
         138.9             2.586722e+24         1.187957e+21         3.756650e+22        1.452%
         184.2             2.714439e+24         1.597077e+21         5.050401e+22        1.861%
         244.2             2.843882e+24         2.167345e+21         6.853746e+22        2.410%
         323.7             2.944955e+24         2.815804e+21         8.904355e+22        3.024%
         429.2             2.988309e+24         3.414475e+21         1.079752e+23        3.613%
         569.0             2.966227e+24         3.935005e+21         1.244358e+23        4.195%
         754.3             2.895942e+24         4.450779e+21         1.407460e+23        4.860%
         1000.             2.812525e+24         5.088554e+21         1.609142e+23        5.721%

Diffusion coefficient *N (1/m/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             6.512348e+23         2.081954e+20         6.583717e+21        1.011%
         0.1326E-02             6.513441e+23         2.083277e+20         6.587901e+21        1.011%
         0.1758E-02             6.515339e+23         2.084378e+20         6.591383e+21        1.012%
         0.2330E-02             6.518628e+23         2.087315e+20         6.600669e+21        1.013%
         0.3089E-02             6.524396e+23         2.092613e+20         6.617424e+21        1.014%
         0.4095E-02             6.534373e+23         2.101985e+20         6.647060e+21        1.017%
         0.5429E-02             6.551380e+23         2.117374e+20         6.695723e+21        1.022%
