Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             1.542619e+26         4.756135e+23         1.504022e+25        9.750%
         0.1326E-02             1.480366e+26         4.407888e+23         1.393897e+25        9.416%
         0.1758E-02             1.410097e+26         4.065524e+23         1.285632e+25        9.117%
         0.2330E-02             1.334954e+26         3.751493e+23         1.186326e+25        8.887%
         0.3089E-02             1.258462e+26         3.480328e+23         1.100576e+25        8.745%
         0.4095E-02             1.183850e+26         3.255452e+23         1.029464e+25        8.696%
         0.5429E-02             1.113193e+26         3.069114e+23         9.705392e+24        8.719%
         0.7197E-02             1.046970e+26         2.902664e+23         9.179029e+24        8.767%
         0.9541E-02             9.841478e+25         2.738272e+23         8.659175e+24        8.799%
         0.1265E-01             9.228188e+25         2.563660e+23         8.107006e+24        8.785%
         0.1677E-01             8.608019e+25         2.370826e+23         7.497211e+24        8.710%
         0.2223E-01             7.961389e+25         2.158644e+23         6.826230e+24        8.574%
         0.2947E-01             7.269773e+25         1.924311e+23         6.085207e+24        8.371%
         0.3907E-01             6.516943e+25         1.668594e+23         5.276558e+24        8.097%
         0.5179E-01             5.694007e+25         1.398223e+23         4.421569e+24        7.765%
         0.6866E-01             4.810298e+25         1.129935e+23         3.573169e+24        7.428%
         0.9103E-01             3.903689e+25         8.847260e+22         2.797749e+24        7.167%
         0.1207             3.037498e+25         6.756801e+22         2.136688e+24        7.034%
         0.1600             2.278201e+25         5.033452e+22         1.591717e+24        6.987%
         0.2121             1.670653e+25         3.642199e+22         1.151764e+24        6.894%
         0.2812             1.230214e+25         2.595201e+22         8.206745e+23        6.671%
         0.3728             9.359051e+24         1.929591e+22         6.101902e+23        6.520%
         0.4942             7.397670e+24         1.528767e+22         4.834386e+23        6.535%
         0.6551             6.003425e+24         1.255135e+22         3.969084e+23        6.611%
         0.8685             4.955566e+24         1.057054e+22         3.342698e+23        6.745%
         1.151             4.158451e+24         9.191130e+21         2.906491e+23        6.989%
         1.526             3.560991e+24         8.255851e+21         2.610729e+23        7.331%
         2.024             3.116109e+24         7.571467e+21         2.394308e+23        7.684%
         2.683             2.776597e+24         6.988610e+21         2.209993e+23        7.959%
         3.556             2.503612e+24         6.437224e+21         2.035629e+23        8.131%
         4.715             2.272279e+24         5.913578e+21         1.870038e+23        8.230%
         6.251             2.071332e+24         5.443367e+21         1.721344e+23        8.310%
         8.286             1.897825e+24         5.048102e+21         1.596350e+23        8.411%
         10.99             1.751101e+24         4.729467e+21         1.495589e+23        8.541%
         14.56             1.629360e+24         4.477403e+21         1.415879e+23        8.690%
