Diffusion
E/N D_TN
Td 10^(23)cm^(-1)s^(-1)
0.00600 0.064
0.00800 0.064
0.01000 0.065
0.01500 0.066
0.02000 0.067
0.02500 0.068
0.0300 0.070
0.0400 0.074
0.0500 0.078
0.0600 0.081
0.0800 0.087
0.1000 0.092
0.1500 0.104
0.2000 0.115
0.2500 0.125
0.300 0.133
0.400 0.149
0.500 0.162
0.600 0.173
0.800 0.193
1.000 0.209
1.500 0.244
2.000 0.277
2.500 0.31
3.00 0.34
4.00 0.40
5.00 0.46
6.00 0.52
8.00 0.67
10.00 0.80
12.00 0.88
14.00 0.92
16.00 0.94
20.00 0.96
23.00 0.97
24.00 0.98
26.00 1.05
28.00 1.10

Diffusion/mobility
E/N D/mu
Td 10^(-1)V
Warren
0.001133 0.203
0.001804 0.234
0.002834 0.256
0.00360 0.255
0.00515 0.254
0.00543 0.254
0.0072 0.260
0.00776 0.260
0.00823 0.262
0.01133 0.271
0.01177 0.266
0.01242 0.275
0.01645 0.279
0.01707 0.284
0.01773 0.280
0.01804 0.295
0.01878 0.295
0.02124 0.302	Crompton
0.02430 0.313
0.02730 0.325
0.0303 0.337
0.0364 0.362
0.0455 0.400
0.0546 0.441
0.0607 0.468
0.0759 0.534
0.0910 0.604
0.1214 0.741
0.1517 0.874
0.1820 1.01
0.2124 1.141
0.243 1.271
0.273 1.405
0.303 1.536
0.364 1.792
0.455 2.170
0.546 2.545
0.607 2.789
0.759 3.400
0.910 3.990
1.214 5.20
1.517 6.40
1.820 7.55
2.124 8.76
2.43 9.96
2.730 11.17
3.03 12.41
5.02 22.8	Townsend
8.35 33
10.07 36
12.52 39
15.80 44

Townsend ion
E/N 10^(-18)cm^2
17.34 0.277
19.87 0.48
19.95 0.43
23.12 0.79
26.01 1.05
27.97 1.41
28.54 1.39
35.8 2.26
42.5 3.10
42.6 2.67
56.1 5.1
57.1 4.0
71.2 5.9
85.1 9.4
85.3 7.4
99.3 9.6
113.8 12.1
127.9 14.8
140.9 17.5
142.0 16.7
156.1 18.4
170.1 19.2
184.2 22.3
196.2 25.7
198.3 22.8
226.5 29.2
254.7 34
282.8 37
288.2 37
420 50
563 56
832 67



             
