Below is the mean and standard deviation of the mean 
for a range of data types listed, such data was 
obtained by using BOLSIG- and inputed data file.

Mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             2.515271e+25         7.951215e+20         2.514395e+23        1.000%
         0.1326E-02             2.514426e+25         7.942652e+20         2.511687e+23        0.999%
         0.1758E-02             2.512949e+25         7.928557e+20         2.507230e+23        0.998%
         0.2330E-02             2.510382e+25         7.905029e+20         2.499790e+23        0.996%
         0.3089E-02             2.505953e+25         7.864085e+20         2.486842e+23        0.992%
         0.4095E-02             2.498404e+25         7.795346e+20         2.465105e+23        0.987%
         0.5429E-02             2.485786e+25         7.684667e+20         2.430105e+23        0.978%
         0.7197E-02             2.465273e+25         7.511554e+20         2.375362e+23        0.964%
         0.9541E-02             2.433136e+25         7.256572e+20         2.294729e+23        0.943%
         0.1265E-01             2.385056e+25         6.900834e+20         2.182235e+23        0.915%
         0.1677E-01             2.316868e+25         6.439796e+20         2.036442e+23        0.879%
         0.2223E-01             2.225749e+25         5.886431e+20         1.861453e+23        0.836%
         0.2947E-01             2.111312e+25         5.272498e+20         1.667310e+23        0.790%
         0.3907E-01             1.976300e+25         4.640872e+20         1.467573e+23        0.743%
         0.5179E-01             1.826038e+25         4.031199e+20         1.274777e+23        0.698%
         0.6866E-01             1.667248e+25         3.472563e+20         1.098121e+23        0.659%
         0.9103E-01             1.506709e+25         2.978506e+20         9.418862e+22        0.625%
         0.1207             1.349831e+25         2.547827e+20         8.056937e+22        0.597%
         0.1600             1.200372e+25         2.171862e+20         6.868031e+22        0.572%
         0.2121             1.060584e+25         1.848985e+20         5.847005e+22        0.551%
         0.2812             9.317020e+24         1.565399e+20         4.950227e+22        0.531%
         0.3728             8.142895e+24         1.323497e+20         4.185265e+22        0.514%
         0.4942             7.083544e+24         1.115647e+20         3.527984e+22        0.498%
         0.6551             6.135612e+24         9.383982e+19         2.967476e+22        0.484%
         0.8685             5.296003e+24         7.948604e+19         2.513569e+22        0.475%
         1.151             4.567922e+24         6.929993e+19         2.191456e+22        0.480%
         1.526             3.954111e+24         6.236104e+19         1.972029e+22        0.499%
         2.024             3.443764e+24         5.678906e+19         1.795828e+22        0.521%
         2.683             3.017856e+24         5.177392e+19         1.637235e+22        0.543%
         3.556             2.661685e+24         4.798729e+19         1.517491e+22        0.570%
         4.715             2.376150e+24         4.786190e+19         1.513526e+22        0.637%
         6.251             2.192379e+24         5.668161e+19         1.792430e+22        0.818%
         8.286             2.148059e+24         6.891861e+19         2.179398e+22        1.015%
         10.99             2.172740e+24         7.213417e+19         2.281083e+22        1.050%
         14.56             2.199581e+24         7.208936e+19         2.279666e+22        1.036%
         19.31             2.219513e+24         7.230952e+19         2.286628e+22        1.030%
         25.60             2.237572e+24         7.342678e+19         2.321959e+22        1.038%
         33.93             2.259281e+24         7.574726e+19         2.395339e+22        1.060%
         44.98             2.289344e+24         7.944296e+19         2.512207e+22        1.097%
         59.64             2.332723e+24         8.515603e+19         2.692870e+22        1.154%
         79.06             2.394071e+24         9.372043e+19         2.963700e+22        1.238%
         104.8             2.478200e+24         1.070895e+20         3.386468e+22        1.367%
         138.9             2.586293e+24         1.271868e+20         4.022001e+22        1.555%
         184.2             2.713093e+24         1.563389e+20         4.943870e+22        1.822%
         244.2             2.841216e+24         1.926083e+20         6.090810e+22        2.144%
         323.7             2.940822e+24         2.314887e+20         7.320315e+22        2.489%
         429.2             2.982755e+24         2.654615e+20         8.394630e+22        2.814%
         569.0             2.959758e+24         2.931877e+20         9.271409e+22        3.132%
         754.3             2.888057e+24         3.186552e+20         1.007676e+23        3.489%
         1000.             2.802462e+24         3.484254e+20         1.101818e+23        3.932%

Diffusion coefficient *N (1/m/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             6.510441e+23         2.060580e+19         6.516127e+21        1.001%
         0.1326E-02             6.511523e+23         2.061587e+19         6.519310e+21        1.001%
         0.1758E-02             6.513426e+23         2.063303e+19         6.524738e+21        1.002%
         0.2330E-02             6.516746e+23         2.066553e+19         6.535013e+21        1.003%
         0.3089E-02             6.522523e+23         2.071900e+19         6.551924e+21        1.005%
         0.4095E-02             6.532511e+23         2.081158e+19         6.581200e+21        1.007%
         0.5429E-02             6.549590e+23         2.096665e+19         6.630236e+21        1.012%
         0.7197E-02             6.578330e+23         2.122238e+19         6.711105e+21        1.020%
         0.9541E-02             6.625621e+23         2.162957e+19         6.839872e+21        1.032%
         0.1265E-01             6.701200e+23         2.225197e+19         7.036691e+21        1.050%
         0.1677E-01             6.817748e+23         2.316175e+19         7.324389e+21        1.074%
         0.2223E-01             6.990448e+23         2.442641e+19         7.724309e+21        1.105%
         0.2947E-01             7.235407e+23         2.610763e+19         8.255959e+21        1.141%
         0.3907E-01             7.569260e+23         2.825197e+19         8.934057e+21        1.180%
         0.5179E-01             8.008037e+23         3.090660e+19         9.773526e+21        1.220%
         0.6866E-01             8.567727e+23         3.412898e+19         1.079253e+22        1.260%
         0.9103E-01             9.265957e+23         3.799534e+19         1.201518e+22        1.297%
         0.1207             1.012140e+24         4.258627e+19         1.346696e+22        1.331%
         0.1600             1.115281e+24         4.791241e+19         1.515123e+22        1.359%
         0.2121             1.237478e+24         5.397886e+19         1.706961e+22        1.379%
         0.2812             1.379589e+24         6.072792e+19         1.920385e+22        1.392%
         0.3728             1.541865e+24         6.811283e+19         2.153917e+22        1.397%
         0.4942             1.723872e+24         7.604035e+19         2.404607e+22        1.395%
         0.6551             1.924485e+24         8.438385e+19         2.668452e+22        1.387%
         0.8685             2.142636e+24         9.330836e+19         2.950670e+22        1.377%
         1.151             2.382165e+24         1.039146e+20         3.286068e+22        1.379%
         1.526             2.659058e+24         1.182540e+20         3.739518e+22        1.406%
         2.024             3.000765e+24         1.381106e+20         4.367440e+22        1.455%
         2.683             3.440168e+24         1.650137e+20         5.218190e+22        1.517%
         3.556             4.019576e+24         2.025757e+20         6.406007e+22        1.594%
         4.715             4.837950e+24         2.668033e+20         8.437063e+22        1.744%
         6.251             6.157845e+24         3.764301e+20         1.190376e+23        1.933%
         8.286             7.803402e+24         4.182343e+20         1.322573e+23        1.695%
         10.99             9.010105e+24         4.245180e+20         1.342444e+23        1.490%
         14.56             9.811261e+24         4.693547e+20         1.484230e+23        1.513%
         19.31             1.048117e+25         5.396962e+20         1.706669e+23        1.628%
         25.60             1.118668e+25         6.276634e+20         1.984846e+23        1.774%
         33.93             1.204074e+25         7.384309e+20         2.335124e+23        1.939%
         44.98             1.315934e+25         8.864323e+20         2.803145e+23        2.130%
         59.64             1.470307e+25         1.099288e+21         3.476252e+23        2.364%
         79.06             1.691917e+25         1.427006e+21         4.512589e+23        2.667%
         104.8             2.021279e+25         1.975362e+21         6.246644e+23        3.090%
         138.9             2.523622e+25         2.954859e+21         9.344084e+23        3.703%
         184.2             3.301596e+25         4.768509e+21         1.507935e+24        4.567%
         244.2             4.498854e+25         7.999233e+21         2.529580e+24        5.623%
         323.7             6.282076e+25         1.334822e+22         4.221078e+24        6.719%
         429.2             8.824023e+25         2.152734e+22         6.807543e+24        7.715%
         569.0             1.237926e+26         3.386906e+22         1.071034e+25        8.652%
         754.3             1.748326e+26         5.359975e+22         1.694973e+25        9.695%
         1000.             2.542881e+26         8.857749e+22         2.801066e+25        11.015%

Energy mobility *N (1/m/V/s)
Electric field / N (Td)        Mean           STD of the Mean      STD of the Pop.  Percentage Error
         0.1000E-02             3.256280e+25         1.029763e+21         3.256398e+23        1.000%
         0.1326E-02             3.255793e+25         1.029306e+21         3.254950e+23        1.000%
         0.1758E-02             3.254940e+25         1.028566e+21         3.252611e+23        0.999%
         0.2330E-02             3.253452e+25         1.027139e+21         3.248098e+23        0.998%
         0.3089E-02             3.250848e+25         1.024701e+21         3.240389e+23        0.997%
         0.4095E-02             3.246335e+25         1.020425e+21         3.226866e+23        0.994%
         0.5429E-02             3.238569e+25         1.013305e+21         3.204351e+23        0.989%
         0.7197E-02             3.225391e+25         1.001436e+21         3.166819e+23        0.982%
         0.9541E-02             3.203490e+25         9.824053e+20         3.106638e+23        0.970%
         0.1265E-01             3.168172e+25         9.530365e+20         3.013766e+23        0.951%
         0.1677E-01             3.113520e+25         9.104512e+20         2.879099e+23        0.925%
         0.2223E-01             3.033446e+25         8.531341e+20         2.697847e+23        0.889%
         0.2947E-01             2.922631e+25         7.821923e+20         2.473509e+23        0.846%
         0.3907E-01             2.779753e+25         7.017920e+20         2.219261e+23        0.798%
         0.5179E-01             2.607765e+25         6.180715e+20         1.954514e+23        0.749%
         0.6866E-01             2.413687e+25         5.367043e+20         1.697208e+23        0.703%
         0.9103E-01             2.206436e+25         4.616733e+20         1.459939e+23        0.662%
         0.1207             1.994884e+25         3.942461e+20         1.246716e+23        0.625%
         0.1600             1.786265e+25         3.351167e+20         1.059732e+23        0.593%
         0.2121             1.586078e+25         2.835794e+20         8.967569e+22        0.565%
         0.2812             1.398151e+25         2.394563e+20         7.572273e+22        0.542%
         0.3728             1.224767e+25         2.018204e+20         6.382120e+22        0.521%
         0.4942             1.066948e+25         1.695507e+20         5.361663e+22        0.503%
         0.6551             9.248960e+24         1.421048e+20         4.493748e+22        0.486%
         0.8685             7.990463e+24         1.211928e+20         3.832453e+22        0.480%
         1.151             6.908521e+24         1.074375e+20         3.397472e+22        0.492%
